state,max_state_count,analyzer,"queries (T,I)",bubble (R),action (R),action_input (R),state_data (R),success_value (R),failure_value (R)
start,0,,,"Hello and welcome to our customer service chat. Please note that while I am not a human operator, I will do my very best to assist You today. How may I help you?",,,,,
test_state,0,"""and(keyword("test"), or(keyword("send"), keyword("get")))""","This is the test state",,,,,
further_details_access_question,0,,"[""cannot access account"", ""problem access account""]","Hello and welcome to our customer service chat. Please note that while I am not a human operator, I will do my very best to assist You today. How may I help you?",show_buttons,"{""Forgot Password"": ""forgot_password"", ""Account locked"": ""account_locked"", ""Specify your problem"": ""specify_problem"", ""I want to call an operator"": ""call_operator"", ""None of the above"": ""start""}","{""verification"": ""did you mean you can't access to your account?""}",eval(show_buttons),"""dont_understand"""
forgot_password,0,,"[""Forgot password""]",We can reset your password by sending you a message to your registered e-mail address. Please tell me your address so I may send you the new password generation link.,input_form,"{""email"": ""email""}","{""verification"": ""did you mean you forgot the password?""}","""send_password_generation_link""","""dont_understand"""
send_password_generation_link,0,,,Thank you. An e-mail will be sent to this address: %email% with your account details and the necessary steps for you to reset your password.,send_password_generation_link,"{ ""template"": ""somebody requested a regenaration of your password, if you requested the password reset follow the link: %link%"", ""email"": ""%email%"" }",,"""any_further""",call_operator
account_locked,0,,"[""Account locked""]","Your account is locked. For any further information, please call our customer service at 800 000 000",,,,"""any_further""",
goodbye_question,0,,,Would you mind rating this conversation so my developers know if they're doing a good job?,show_buttons,"{ ""Excellent"": ""excellent_feedback"", ""Terrible"": ""terrible_feedback"" }",,eval(show_buttons),"""dont_understand"""
excellent_feedback,0,,,"Great!, See you soon!",,,,,
terrible_feedback,0,,,Sorry to hear that.,,,,"""call_operator""",
call_operator,0,,"[""I want to talk with an operator"", ""please let me talk wih an operator""]",You can talk with a human operator calling 800 000 000,,,,,
any_further,0,,,"Let me know if you have any other request, or type 'Bye' to close the chat",,,,,
dont_understand,0,,,"I do not understand your input, please try again",,,,,
